NOM_SCIENTIFIQUE,ENJEU_CONSERVATION,NOM_MATCHING
"Alchemilla acutiloba Opiz, 1838 ",MOY,Alchemilla acutiloba
"Alchemilla alpigena Buser, 1894 ",MOY,Alchemilla alpigena
"Alchemilla alpina L., 1753 ",FAI,Alchemilla alpina
"Alchemilla amphisericea Buser, 1906 ",FOR,Alchemilla amphisericea
"Alchemilla colorata Buser, 1892 ",DD,Alchemilla colorata
"Alchemilla conjuncta Bab., 1842 ",DD,Alchemilla conjuncta
"Alchemilla connivens Buser, 1894 ",DD,Alchemilla connivens
"Alchemilla coriacea Buser, 1891 ",DD,Alchemilla coriacea
"Alchemilla crinita Buser, 1892 ",DD,Alchemilla crinita
"Alchemilla demissa Buser, 1894 ",DD,Alchemilla demissa
"Alchemilla fallax Buser, 1894 ",DD,Alchemilla fallax
"Alchemilla filicaulis Buser, 1893 ",MOY,Alchemilla filicaulis
"Alchemilla fissa Günther & Schummel, 1819 ",MOY,Alchemilla fissa
"Alchemilla flabellata Buser, 1891 ",MOY,Alchemilla flabellata
"Alchemilla frigens Buser, 1894 ",DD,Alchemilla frigens
"Alchemilla fulgens Buser, 1901 ",DD,Alchemilla fulgens
"Alchemilla glabra Neygenf., 1821 ",MOY,Alchemilla glabra
Alchemilla glacialis Buser ,FOR,Alchemilla glacialis
"Alchemilla glaucescens Wallr., 1840 ",MOY,Alchemilla glaucescens
"Alchemilla glomerulans Buser, 1893 ",DD,Alchemilla glomerulans
"Alchemilla grossidens Buser, 1891 ",DD,Alchemilla grossidens
"Alchemilla heteropoda Buser, 1894 ",DD,Alchemilla heteropoda
"Alchemilla hybrida (L.) L., 1756 ",DD,Alchemilla hybrida
"Alchemilla incisa Buser, 1892 ",DD,Alchemilla incisa
"Alchemilla monticola Opiz, 1838 ",MOY,Alchemilla monticola
"Alchemilla pallens Buser, 1892 ",DD,Alchemilla pallens
"Alchemilla pentaphyllea L., 1753 ",MOY,Alchemilla pentaphyllea
"Alchemilla petiolulans Buser, 1903 ",DD,Alchemilla petiolulans
"Alchemilla reflexa Frost-Ols., 2016 ",DD,Alchemilla reflexa
"Alchemilla saxatilis Buser, 1891 ",MOY,Alchemilla saxatilis
"Alchemilla straminea Buser, 1894 ",DD,Alchemilla straminea
"Alchemilla strigosula Buser, 1893 ",DD,Alchemilla strigosula
"Alchemilla subcrenata Buser, 1893 ",DD,Alchemilla subcrenata
"Alchemilla subsericea Reut., 1854 ",DD,Alchemilla subsericea
"Alchemilla tenuis Buser, 1894 ",DD,Alchemilla tenuis
"Alchemilla transiens (Buser) Buser, 1898 ",MOY,Alchemilla transiens
"Alchemilla trunciloba Buser, 1894 ",DD,Alchemilla trunciloba
"Alchemilla vetteri Buser, 1896 ",DD,Alchemilla vetteri
"Alchemilla xanthochlora Rothm., 1937 ",MOY,Alchemilla xanthochlora
"Aldrovanda vesiculosa L., 1753 ",DD,Aldrovanda vesiculosa
"Alisma gramineum Lej., 1811 ",DD,Alisma gramineum
"Alisma lanceolatum With., 1796 ",MOY,Alisma lanceolatum
"Alisma plantago-aquatica L., 1753 ",MOY,Alisma plantago-aquatica
"Alkanna lutea Moris, 1845 ",TFO,Alkanna lutea
"Alkanna matthioli Tausch, 1824 ",FOR,Alkanna matthioli
"Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913 ",MOY,Alliaria petiolata
"Allium acutiflorum Loisel., 1809 ",TFO,Allium acutiflorum
"Allium ampeloprasum L., 1753 ",FOR,Allium ampeloprasum
"Allium angulosum L., 1753 ",FOR,Allium angulosum
"Allium atroviolaceum auct., non Boiss. 1846 ",DD,Allium atroviolaceum
"Allium carinatum L., 1753 ",FOR,Allium carinatum
"Allium chamaemoly L., 1753 ",MOY,Allium chamaemoly
"Allium coloratum Spreng., 1825 ",MOY,Allium coloratum
"Allium commutatum Guss., 1855 ",MOY,Allium commutatum
"Allium consimile Jord. ex Gren., 1855 ",TFO,Allium consimile
"Allium corsicum Jauzein, J.-M.Tison, Deschâtres &  H.Couderc, 2002 ",TFO,Allium corsicum
"Allium cyrilli Ten., 1829 ",DD,Allium cyrilli
"Allium flavum L., 1753 ",MOY,Allium flavum
"Allium flexum Waldst. & Kit., 1812 ",DD,Allium flexum
"Allium longispathum D.Delaroche, 1811 ",MOY,Allium longispathum
"Allium lusitanicum Lam., 1783 ",FAI,Allium lusitanicum
"Allium moly L., 1753 ",FOR,Allium moly
"Allium moschatum L., 1753 ",MOY,Allium moschatum
"Allium narcissiflorum Vill., 1779 ",MOY,Allium narcissiflorum
"Allium neapolitanum Cirillo, 1788 ",MOY,Allium neapolitanum
"Allium nigrum L., 1762 ",FOR,Allium nigrum
"Allium oleraceum L., 1753 ",FAI,Allium oleraceum
"Allium oporinanthum Brullo, Pavone & Salmeri, 1977 ",MOY,Allium oporinanthum
"Allium pallens L., 1762 ",MOY,Allium pallens
"Allium parciflorum Viv., 1825 ",FOR,Allium parciflorum
"Allium pendulinum Ten., 1815 ",MOY,Allium pendulinum
"Allium polyanthum Schult. & Schult.f., 1830 ",MOY,Allium polyanthum
"Allium roseum L., 1753 ",MOY,Allium roseum
"Allium rotundum L., 1762 ",MOY,Allium rotundum
"Allium savii Parl., 1857 ",FOR,Allium savii
"Allium scaberrimum J.Serres, 1857 ",FOR,Allium scaberrimum
"Allium schoenoprasum L., 1753 ",MOY,Allium schoenoprasum
"Allium scorodoprasum L., 1753 ",MOY,Allium scorodoprasum
"Allium siculum Ucria, 1793 ",MOY,Allium siculum
"Allium sphaerocephalon L., 1753 ",MOY,Allium sphaerocephalon
"Allium strictum Schrad., 1809 ",MOY,Allium strictum
"Allium subhirsutum L., 1753 ",MOY,Allium subhirsutum
"Allium tenuiflorum Ten., 1815 ",TFO,Allium tenuiflorum
"Allium triquetrum L., 1753 ",MOY,Allium triquetrum
"Allium ursinum L., 1753 ",MOY,Allium ursinum
"Allium victorialis L., 1753 ",MOY,Allium victorialis
"Allium vineale L., 1753 ",MOY,Allium vineale
"Allosorus acrosticus (Balb.) Christenh., 2012 ",MOY,Allosorus acrosticus
"Allosorus guanchicus (Bolle) Christenh., 2012 ",MOY,Allosorus guanchicus
"Allosorus hispanicus (Mett.) Christenh., 2012 ",MOY,Allosorus hispanicus
"Allosorus pteridioides (Reichard) Christenh., 2012 ",MOY,Allosorus pteridioides
"Allosorus tinaei (Tod.) Christenh., 2012 ",MOY,Allosorus tinaei
"Alnus alnobetula subsp. alnobetula (Ehrh.) K.Koch,  1872 ",MOY,Alnus alnobetula subsp. alnobetula 
"Alnus alnobetula subsp. suaveolens (Req.) Lambinon  & Kerguélen, 1988 ",FOR,Alnus alnobetula subsp. suaveolens 
"Alnus cordata (Loisel.) Duby, 1828 ",MOY,Alnus cordata
"Alnus glutinosa (L.) Gaertn., 1790 ",MOY,Alnus glutinosa
"Alnus incana (L.) Moench, 1794 ",MOY,Alnus incana
"Alopecurus aequalis Sobol., 1799 ",MOY,Alopecurus aequalis
"Alopecurus bulbosus Gouan, 1762 ",FOR,Alopecurus bulbosus
"Alopecurus geniculatus L., 1753 ",MOY,Alopecurus geniculatus
"Alopecurus gerardi Vill., 1786 ",FAI,Alopecurus gerardi
"Alopecurus myosuroides Huds., 1762 ",MOY,Alopecurus myosuroides
"Alopecurus pratensis L., 1753 ",MOY,Alopecurus pratensis
"Althaea cannabina L., 1753 ",MOY,Althaea cannabina
"Althaea officinalis L., 1753 ",MOY,Althaea officinalis
"Althenia filiformis Petit, 1829 ",MOY,Althenia filiformis
"Althenia filiformis subsp. filiformis Petit, 1829 ",MOY,Althenia filiformis subsp. filiformis 
"Althenia filiformis subsp. orientalis Tzvelev, 1975 ",FOR,Althenia filiformis subsp. orientalis 
"Alyssoides utriculata (L.) Medik., 1789 ",MOY,Alyssoides utriculata
"Alyssum alpestre L., 1767 ",MOY,Alyssum alpestre
"Alyssum alyssoides (L.) L., 1759 ",MOY,Alyssum alyssoides
"Alyssum cacuminum Španiel, Marhold & Lihová, 2014 ",MOY,Alyssum cacuminum
"Alyssum flexicaule Jord., 1846 ",FOR,Alyssum flexicaule
"Alyssum montanum L., 1753 ",MOY,Alyssum montanum
"Alyssum orophilum Jord. & Fourr., 1868 ",TFO,Alyssum orophilum
"Alyssum rhodanense Jord. & Fourr., 1868 ",TFO,Alyssum rhodanense
"Alyssum robertianum Bernard, Godr. & Gren., 1848 ",TFO,Alyssum robertianum
"Alyssum serpyllifolium Desf., 1799 ",FOR,Alyssum serpyllifolium
"Alyssum simplex Rudolphi, 1799 ",MOY,Alyssum simplex
"Amaranthus blitum L., 1753 ",MOY,Amaranthus blitum
"Amaranthus blitum subsp. blitum L., 1753 ",DD,Amaranthus blitum subsp. blitum 
"Amaranthus blitum subsp. emarginatus (Salzm. ex  Uline & W.L.Bray) Carretero, Muñoz Garm. & Pedrol,  1987 ",MOY,Amaranthus blitum subsp. emarginatus 
"Amaranthus graecizans subsp. silvestris (Vill.) Brenan,  1961 ",FOR,Amaranthus graecizans subsp. silvestris 
"Ambrosia maritima L., 1753 ",DD,Ambrosia maritima
"Ambrosina bassii L., 1764 ",FOR,Ambrosina bassii
"Amelanchier ovalis Medik., 1793 ",MOY,Amelanchier ovalis
"Amelanchier ovalis subsp. embergeri Favarger & Stearn, 1983 ",DD,Amelanchier ovalis subsp. embergeri 
"Amelanchier ovalis subsp. ovalis Medik., 1793 ",MOY,Amelanchier ovalis subsp. ovalis 
"Ammi majus L., 1753 ",MOY,Ammi majus
"Ammoides pusilla (Brot.) Breistr., 1947 ",MOY,Ammoides pusilla
"Ammophila arenaria subsp. arundinacea (Husn.)  H.Lindb., 1932 ",FOR,Ammophila arenaria subsp. arundinacea 
"Ampelodesmos mauritanicus (Poir.) T.Durand &  Schinz, 1894 ",FOR,Ampelodesmos mauritanicus
"Anacamptis collina (Banks & Sol. ex Russell)  R.M.Bateman, Pridgeon & M.W.Chase, 1997 ",DD,Anacamptis collina
"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon &  M.W.Chase, 1997 ",MOY,Anacamptis coriophora
"Anacamptis coriophora subsp. coriophora (L.)  R.M.Bateman, Pridgeon & M.W.Chase, 1997 ",MOY,Anacamptis coriophora subsp. coriophora 
"Anacamptis coriophora subsp. martrinii (Timb.-Lagr.)  Jacquet & Scappat., 2003 ",MOY,Anacamptis coriophora subsp. martrinii 
"Anacamptis fragrans (Pollini) R.M.Bateman, 2003 ",MOY,Anacamptis fragrans
"Anacamptis laxiflora (Lam.) R.M.Bateman, Pridgeon &  M.W.Chase, 1997 ",MOY,Anacamptis laxiflora
"Anacamptis morio (L.) R.M.Bateman, Pridgeon &  M.W.Chase, 1997 ",MOY,Anacamptis morio
"Anacamptis morio subsp. champagneuxii (Barnéoud)  H.Kretzschmar, Eccarius & H.Dietr., 2007 ",FOR,Anacamptis morio subsp. champagneuxii 
"Anacamptis morio subsp. longicornu (Poir.)  H.Kretzschmar, Eccarius & H.Dietr., 2007 ",FOR,Anacamptis morio subsp. longicornu 
"Anacamptis morio subsp. morio (L.) R.M.Bateman,  Pridgeon & M.W.Chase, 1997 ",MOY,Anacamptis morio subsp. morio 
"Anacamptis morio subsp. picta (Loisel.) Jacquet &  Scappat., 2003 ",MOY,Anacamptis morio subsp. picta 
"Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon  & M.W.Chase, 1997 ",FOR,Anacamptis palustris
"Anacamptis papilionacea (L.) R.M.Bateman, Pridgeon  & M.W.Chase, 1997 ",MOY,Anacamptis papilionacea
"Anacamptis pyramidalis (L.) Rich., 1817 ",MOY,Anacamptis pyramidalis
"Anacyclus clavatus (Desf.) Pers., 1807 ",MOY,Anacyclus clavatus
"Anacyclus radiatus Loisel., 1828 ",FOR,Anacyclus radiatus
"Anacyclus valentinus L., 1753 ",FOR,Anacyclus valentinus
"Anagyris foetida L., 1753 ",FOR,Anagyris foetida
"Anarrhinum bellidifolium (L.) Willd., 1800 ",MOY,Anarrhinum bellidifolium
"Anarrhinum corsicum Jord. & Fourr., 1866 ",FOR,Anarrhinum corsicum
"Anarrhinum laxiflorum Boiss., 1838 ",FOR,Anarrhinum laxiflorum
"Anchusa crispa subsp. crispa Viv., 1825 ",TFO,Anchusa crispa subsp. crispa 
"Anchusa crispa subsp. valincoana Paradis, Piazza &  Quilichini, 2018 ",TFO,Anchusa crispa subsp. valincoana 
"Anchusa crispa Viv., 1825 ",TFO,Anchusa crispa
"Anchusa italica Retz., 1779 ",MOY,Anchusa italica
"Anchusa officinalis L., 1753 ",MOY,Anchusa officinalis
"Anchusa undulata L., 1753 ",FOR,Anchusa undulata
"Andromeda polifolia L., 1753 ",MOY,Andromeda polifolia
"Andropogon distachyos L., 1753 ",MOY,Andropogon distachyos
"Androsace adfinis Biroli, 1820 ",MOY,Androsace adfinis
"Androsace adfinis subsp. adfinis Biroli, 1820 ",FOR,Androsace adfinis subsp. adfinis 
"Androsace adfinis subsp. brigantiaca (Jord. & Fourr.)  Kress, 1981 ",MOY,Androsace adfinis subsp. brigantiaca 
"Androsace adfinis subsp. puberula (Jord. & Fourr.)  Kress, 1981 ",MOY,Androsace adfinis subsp. puberula 
"Androsace alpina (L.) Lam., 1779 ",MOY,Androsace alpina
"Androsace chaixii Gren., 1853 ",FOR,Androsace chaixii
"Androsace elongata subsp. breistrofferi (Charpin &  Greuter) Molero & P.Monts., 1983 ",TFO,Androsace elongata subsp. breistrofferi 
"Androsace halleri L., 1753 ",MOY,Androsace halleri
"Androsace helvetica (L.) All., 1785 ",MOY,Androsace helvetica
"Androsace lactea L., 1753 ",MOY,Androsace lactea
"Androsace maxima L., 1753 ",MOY,Androsace maxima
"Androsace obtusifolia All., 1785 ",MOY,Androsace obtusifolia
"Androsace pubescens DC., 1805 ",MOY,Androsace pubescens
"Androsace septentrionalis L., 1753 ",MOY,Androsace septentrionalis
"Androsace vandellii (Turra) Chiov., 1919 ",MOY,Androsace vandellii
"Androsace villosa L., 1753 ",MOY,Androsace villosa
"Androsace vitaliana (L.) Lapeyr., 1813 ",MOY,Androsace vitaliana
"Andryala integrifolia L., 1753 ",MOY,Andryala integrifolia
"Andryala ragusina L., 1763 ",TFO,Andryala ragusina
"Anemone alpina L., 1753 ",MOY,Anemone alpina
"Anemone alpina subsp. alpina L., 1753 ",MOY,Anemone alpina subsp. alpina 
"Anemone alpina subsp. apiifolia (Scop.) O.Bolòs &  Vigo, 1974 ",MOY,Anemone alpina subsp. apiifolia 
"Anemone apennina L., 1753 ",MOY,Anemone apennina
"Anemone baldensis L., 1767 ",MOY,Anemone baldensis
"Anemone halleri All., 1773 ",FOR,Anemone halleri
"Anemone hepatica L., 1753 ",FAI,Anemone hepatica
"Anemone hortensis L., 1753 ",MOY,Anemone hortensis
"Anemone montana Hoppe, 1826 ",MOY,Anemone montana
"Anemone narcissiflora L., 1753 ",MOY,Anemone narcissiflora
"Anemone nemorosa L., 1753 ",MOY,Anemone nemorosa
"Anemone palmata L., 1753 ",TFO,Anemone palmata
"Anemone pulsatilla subsp. bogenhardtiana (Rchb.)  Rouy & Foucaud, 1893 ",FOR,Anemone pulsatilla subsp. bogenhardtiana 
"Anemone ranunculoides L., 1753 ",MOY,Anemone ranunculoides
"Anemone rubra Lam., 1783 ",MOY,Anemone rubra
"Anemone scherfelii subsp. cyrnea (Gamisans) B.Bock  & J.-M.Tison, 2012 ",FOR,Anemone scherfelii subsp. cyrnea 
"Anemone trifolia L., 1753 ",MOY,Anemone trifolia
"Anemone vernalis L., 1753 ",MOY,Anemone vernalis
"Angelica razulii Gouan, 1773 ",MOY,Angelica razulii
"Angelica sylvestris L., 1753 ",MOY,Angelica sylvestris
"Anisantha diandra (Roth) Tutin ex Tzvelev, 1963 ",MOY,Anisantha diandra
"Anisantha fasciculata (C.Presl) Nevski, 1934 ",FOR,Anisantha fasciculata
"Anisantha madritensis (L.) Nevski, 1934 ",MOY,Anisantha madritensis
"Anisantha rigida (Roth) Hyl., 1945 ",MOY,Anisantha rigida
"Anisantha rubens (L.) Nevski, 1934 ",MOY,Anisantha rubens
"Anisantha sterilis (L.) Nevski, 1934 ",MOY,Anisantha sterilis
"Anisantha tectorum (L.) Nevski, 1934 ",FAI,Anisantha tectorum
"Anogramma leptophylla (L.) Link, 1841 ",MOY,Anogramma leptophylla
Antennaria carpatica subsp. helvetica (Chrtek &  Pouzar) Chrtek & Pouzar ,MOY,Antennaria carpatica subsp. helvetica 
"Antennaria dioica (L.) Gaertn., 1791 ",FAI,Antennaria dioica
"Anthemis arvensis L., 1753 ",FAI,Anthemis arvensis
"Anthemis arvensis subsp. arvensis L., 1753 ",DD,Anthemis arvensis subsp. arvensis 
"Anthemis arvensis subsp. glabra (Rouy) Jeanm., 1998 ",TFO,Anthemis arvensis subsp. glabra 
"Anthemis arvensis subsp. incrassata (Loisel.) Nyman,  1879 ",MOY,Anthemis arvensis subsp. incrassata 
"Anthemis cotula L., 1753 ",MOY,Anthemis cotula
"Anthemis cretica subsp. columnae (Ten.) Franzén,  1986 ",FOR,Anthemis cretica subsp. columnae 
"Anthemis cretica subsp. gerardiana (Jord.) Greuter,  2005 ",TFO,Anthemis cretica subsp. gerardiana 
"Anthemis cretica subsp. saxatilis (DC. ex Willd.)  R.Fern., 1975 ",MOY,Anthemis cretica subsp. saxatilis 
"Anthemis maritima L., 1753 ",FOR,Anthemis maritima
"Anthemis secundiramea Biv., 1806 ",TFO,Anthemis secundiramea
"Anthericum liliago L., 1753 ",MOY,Anthericum liliago
"Anthericum ramosum L., 1753 ",MOY,Anthericum ramosum
"Anthoxanthum alpinum Á.Löve & D.Löve, 1948 ",FAI,Anthoxanthum alpinum
"Anthoxanthum aristatum Boiss., 1842 ",FOR,Anthoxanthum aristatum
"Anthoxanthum odoratum L., 1753 ",FAI,Anthoxanthum odoratum
"Anthoxanthum ovatum Lag., 1816 ",FOR,Anthoxanthum ovatum
"Anthriscus caucalis M.Bieb., 1808 ",MOY,Anthriscus caucalis
"Anthriscus cerefolium (L.) Hoffm., 1814 ",MOY,Anthriscus cerefolium
"Anthriscus nitida (Wahlenb.) Hazsl., 1864 ",MOY,Anthriscus nitida
"Anthriscus sylvestris (L.) Hoffm., 1814 ",FAI,Anthriscus sylvestris
"Anthriscus sylvestris subsp. alpina (Vill.) Gremli, 1874 ",MOY,Anthriscus sylvestris subsp. alpina 
"Anthriscus sylvestris subsp. sylvestris (L.) Hoffm.,  1814 ",MOY,Anthriscus sylvestris subsp. sylvestris 
"Anthyllis barba-jovis L., 1753 ",FOR,Anthyllis barba-jovis
"Anthyllis circinnata (L.) D.D.Sokoloff, 2003 ",FOR,Anthyllis circinnata
"Anthyllis cytisoides L., 1753 ",TFO,Anthyllis cytisoides
"Anthyllis hermanniae L., 1753 ",FOR,Anthyllis hermanniae
"Anthyllis montana L., 1753 ",MOY,Anthyllis montana
"Anthyllis vulneraria L., 1753 ",MOY,Anthyllis vulneraria
"Anthyllis vulneraria subsp. alpestris (Kit.) Asch. &  Graebn., 1908 ",MOY,Anthyllis vulneraria subsp. alpestris 
"Anthyllis vulneraria subsp. forondae (Sennen) Cullen,  1968 ",DD,Anthyllis vulneraria subsp. forondae 
"Anthyllis vulneraria subsp. guyotii (Chodat) Grenon,  2007 ",DD,Anthyllis vulneraria subsp. guyotii 
